epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.118,1.61328,2.79973,1.37611,0.5415,0.68339,0.6802,0.36505,1.62944,1.71089,1.49184,0.0671012,0.000332311,0.000332311
2,508.899,1.54953,1.54369,1.36883,0.86109,0.88435,0.94474,0.55913,1.45677,0.97925,1.42394,0.0341011,0.000665482,0.000665482
3,786.736,1.51042,1.2944,1.35777,0.88939,0.92123,0.96297,0.56084,1.49773,0.90048,1.41008,0.00110025,0.000998002,0.000998002
4,1048.12,1.4694,1.17351,1.34544,0.94087,0.9394,0.97115,0.60232,1.37899,0.75069,1.38911,0.000997803,0.000997803,0.000997803
5,1288.44,1.45181,1.09998,1.33321,0.94522,0.96023,0.97549,0.57353,1.50332,0.74907,1.4335,0.000996097,0.000996097,0.000996097
6,1546.3,1.43817,1.04896,1.32973,0.96024,0.98286,0.98493,0.63716,1.30898,0.64427,1.34661,0.000993906,0.000993906,0.000993906
7,1784.72,1.41235,1.01148,1.32448,0.95128,0.97116,0.97866,0.62603,1.33556,0.66177,1.36531,0.000991232,0.000991232,0.000991232
8,2038.45,1.39525,0.97146,1.31318,0.96669,0.97547,0.9838,0.63638,1.30664,0.62783,1.3496,0.000988079,0.000988079,0.000988079
9,2233.88,1.3942,0.95282,1.31952,0.98001,0.97574,0.98666,0.63613,1.32314,0.60823,1.35476,0.000984449,0.000984449,0.000984449
10,2451.67,1.3804,0.93759,1.30965,0.97282,0.97775,0.98457,0.64442,1.29587,0.59639,1.35405,0.000980345,0.000980345,0.000980345
11,2639.89,1.38248,0.91575,1.31511,0.97283,0.9646,0.98169,0.63642,1.30886,0.61797,1.36615,0.000975773,0.000975773,0.000975773
12,2862.53,1.36349,0.88501,1.30282,0.97084,0.98132,0.98787,0.64577,1.29609,0.57123,1.35866,0.000970736,0.000970736,0.000970736
13,3064.95,1.37113,0.87518,1.31059,0.97767,0.98438,0.9876,0.64873,1.28065,0.55282,1.35373,0.000965239,0.000965239,0.000965239
14,3282.66,1.35182,0.85545,1.30151,0.96644,0.98498,0.9866,0.63786,1.31334,0.5751,1.37216,0.000959289,0.000959289,0.000959289
15,3470.46,1.3508,0.85528,1.30416,0.97329,0.98306,0.98629,0.64894,1.27449,0.552,1.3517,0.000952889,0.000952889,0.000952889
16,3688.45,1.34667,0.84173,1.30663,0.96995,0.98508,0.98703,0.64648,1.28346,0.54936,1.35928,0.000946048,0.000946048,0.000946048
17,3890.92,1.34074,0.83221,1.2965,0.97483,0.98785,0.98786,0.64193,1.30093,0.55133,1.3617,0.000938772,0.000938772,0.000938772
18,4113.3,1.3346,0.81646,1.30144,0.97866,0.98448,0.98736,0.61813,1.36651,0.55266,1.38107,0.000931067,0.000931067,0.000931067
19,4315.88,1.3254,0.80073,1.29271,0.97898,0.98499,0.98829,0.65755,1.26356,0.517,1.34888,0.000922942,0.000922942,0.000922942
20,4538.56,1.31386,0.78357,1.29088,0.97917,0.98794,0.98933,0.65568,1.26544,0.51096,1.34855,0.000914405,0.000914405,0.000914405
21,4740.74,1.33327,0.80421,1.30373,0.97989,0.98726,0.98799,0.64872,1.29236,0.51443,1.3669,0.000905463,0.000905463,0.000905463
22,4964.11,1.32368,0.78621,1.28977,0.97348,0.9873,0.9882,0.65076,1.28754,0.51935,1.37623,0.000896127,0.000896127,0.000896127
23,5170.51,1.31811,0.77558,1.29628,0.97147,0.98804,0.98644,0.64962,1.28488,0.50366,1.36562,0.000886404,0.000886404,0.000886404
24,5387.78,1.31544,0.78083,1.29578,0.97754,0.99029,0.9888,0.66452,1.25794,0.49374,1.35089,0.000876305,0.000876305,0.000876305
25,5589.92,1.30807,0.76772,1.29314,0.97567,0.98699,0.98803,0.65389,1.26733,0.50545,1.36391,0.000865839,0.000865839,0.000865839
26,5812.19,1.30663,0.76108,1.29041,0.98004,0.98749,0.98919,0.66177,1.25545,0.49989,1.34626,0.000855018,0.000855018,0.000855018
27,6014.07,1.30379,0.75764,1.29172,0.97438,0.98751,0.98766,0.6622,1.25595,0.50437,1.35398,0.000843851,0.000843851,0.000843851
28,6234.9,1.30237,0.74979,1.29483,0.97604,0.98816,0.98831,0.66163,1.2629,0.48996,1.36643,0.000832349,0.000832349,0.000832349
29,6436.29,1.29989,0.74587,1.28621,0.98043,0.98856,0.98958,0.66145,1.26278,0.48489,1.35977,0.000820525,0.000820525,0.000820525
30,6659.55,1.29809,0.73837,1.28675,0.97825,0.98901,0.98868,0.66434,1.25847,0.48724,1.35785,0.000808389,0.000808389,0.000808389
31,6861.2,1.28738,0.74676,1.28653,0.97915,0.98946,0.98889,0.66112,1.25774,0.47679,1.35395,0.000795954,0.000795954,0.000795954
32,7078.48,1.29317,0.73498,1.28867,0.97815,0.98856,0.98777,0.66336,1.26527,0.4742,1.36439,0.000783231,0.000783231,0.000783231
33,7280.64,1.2942,0.73306,1.288,0.98243,0.9913,0.98981,0.66683,1.25158,0.47862,1.35955,0.000770234,0.000770234,0.000770234
34,7497.69,1.28406,0.71776,1.28597,0.98218,0.99141,0.99046,0.6636,1.25571,0.47704,1.35599,0.000756976,0.000756976,0.000756976
