epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9344,0.7619,1.01077,0.92753,0.97649,0.9902,0.99264,0.88656,0.5055,0.61743,0.82118,0.0672619,0.000330688,0.000330688
2,183.111,0.71213,0.58599,0.91425,0.99995,0.98039,0.99476,0.84942,0.57999,0.4781,0.83175,0.0342613,0.000663373,0.000663373
3,272.834,0.6809,0.52296,0.90698,0.97537,0.97058,0.98526,0.87934,0.50146,0.40291,0.82027,0.00125801,0.000993462,0.000993462
4,352.279,0.67443,0.50155,0.9045,0.97806,0.9951,0.99476,0.89118,0.49029,0.37142,0.81701,0.000991232,0.000991232,0.000991232
5,433.486,0.66463,0.48244,0.89182,0.98956,0.9951,0.99485,0.893,0.49567,0.36478,0.82066,0.000984449,0.000984449,0.000984449
6,522.986,0.65518,0.46458,0.89719,0.99023,0.9951,0.99353,0.89586,0.47188,0.33534,0.81239,0.000975773,0.000975773,0.000975773
7,606.231,0.62908,0.44761,0.89522,0.99502,0.97849,0.99352,0.87425,0.52593,0.35103,0.82523,0.000965239,0.000965239,0.000965239
8,700.415,0.63472,0.44286,0.89534,0.99293,0.9951,0.995,0.90276,0.46937,0.33737,0.81232,0.000952889,0.000952889,0.000952889
9,812.972,0.62145,0.42748,0.89086,0.98847,0.9951,0.98922,0.8981,0.45895,0.31662,0.80533,0.000938772,0.000938772,0.000938772
10,899.822,0.60562,0.40899,0.88892,0.99335,0.9951,0.995,0.89538,0.46421,0.29704,0.80829,0.000922942,0.000922942,0.000922942
11,977.923,0.60479,0.40198,0.8912,0.99163,0.9951,0.99471,0.89972,0.45762,0.30152,0.80276,0.000905463,0.000905463,0.000905463
12,1065.73,0.58699,0.39819,0.8833,0.98386,0.9951,0.995,0.91434,0.44194,0.31055,0.80574,0.000886404,0.000886404,0.000886404
13,1139.13,0.58488,0.38797,0.87968,0.99774,0.9951,0.995,0.91886,0.42832,0.27313,0.80051,0.000865839,0.000865839,0.000865839
14,1204.75,0.57287,0.38356,0.87246,0.98544,0.9951,0.9948,0.90421,0.45441,0.29477,0.80344,0.000843851,0.000843851,0.000843851
15,1280.2,0.57499,0.38019,0.88016,0.99017,0.9951,0.995,0.91554,0.42753,0.27892,0.80483,0.000820525,0.000820525,0.000820525
16,1346.15,0.57792,0.37178,0.87695,0.99603,0.9902,0.995,0.89622,0.47326,0.29418,0.80853,0.000795954,0.000795954,0.000795954
17,1412.77,0.56876,0.36637,0.87911,0.99746,0.9951,0.995,0.91926,0.40303,0.26571,0.79987,0.000770234,0.000770234,0.000770234
18,1488.25,0.56669,0.36689,0.87137,0.98531,1,0.99495,0.9106,0.42953,0.26714,0.79944,0.000743468,0.000743468,0.000743468
19,1553.95,0.56607,0.35831,0.87174,0.98893,0.9951,0.995,0.91473,0.41521,0.27025,0.80121,0.000715761,0.000715761,0.000715761
20,1619.58,0.55173,0.35193,0.87465,0.9855,0.99935,0.9949,0.91816,0.41462,0.26325,0.79863,0.000687222,0.000687222,0.000687222
21,1693.62,0.53903,0.37945,0.86438,0.98497,0.9951,0.99387,0.92123,0.42693,0.26827,0.79987,0.000657963,0.000657963,0.000657963
22,1759.04,0.53356,0.33982,0.8671,0.99027,0.9974,0.99314,0.92177,0.39371,0.24862,0.79609,0.000628101,0.000628101,0.000628101
23,1824.54,0.55705,0.33882,0.87219,0.98492,0.9951,0.99301,0.91913,0.41582,0.25973,0.79729,0.000597754,0.000597754,0.000597754
24,1898.75,0.54615,0.33647,0.8691,0.98995,1,0.995,0.91383,0.4174,0.25855,0.7974,0.00056704,0.00056704,0.00056704
25,1964.09,0.53195,0.32519,0.86242,0.98835,0.9951,0.99485,0.91659,0.41413,0.24805,0.79797,0.000536081,0.000536081,0.000536081
26,2029.31,0.53316,0.32645,0.86545,0.9821,0.9951,0.99217,0.91402,0.41446,0.25821,0.79759,0.000505,0.000505,0.000505
27,2104.39,0.52113,0.31969,0.86766,0.98871,0.9951,0.9947,0.92534,0.39728,0.23679,0.79387,0.000473919,0.000473919,0.000473919
28,2169.5,0.51538,0.31645,0.86299,0.98927,0.9951,0.995,0.93138,0.4071,0.24754,0.79678,0.00044296,0.00044296,0.00044296
29,2235.13,0.52656,0.31946,0.86651,0.99023,0.9951,0.995,0.93403,0.38651,0.23528,0.79294,0.000412246,0.000412246,0.000412246
30,2310.19,0.50989,0.30622,0.85964,0.98286,0.9951,0.99436,0.92462,0.38558,0.22852,0.79051,0.000381899,0.000381899,0.000381899
31,2375.71,0.50513,0.29971,0.86134,0.99176,0.9951,0.99495,0.93166,0.37565,0.2227,0.79159,0.000352037,0.000352037,0.000352037
32,2441.01,0.49872,0.29668,0.85314,0.98809,0.9951,0.995,0.92416,0.39628,0.22191,0.79303,0.000322778,0.000322778,0.000322778
33,2515.42,0.4985,0.28737,0.85475,0.9887,0.9951,0.995,0.92646,0.39212,0.22465,0.79301,0.000294239,0.000294239,0.000294239
34,2580.88,0.49534,0.28775,0.85066,0.98843,0.9951,0.995,0.93537,0.37998,0.2218,0.79134,0.000266532,0.000266532,0.000266532
35,2646.4,0.49313,0.28804,0.85071,0.98516,0.9951,0.995,0.9317,0.37066,0.22068,0.7892,0.000239766,0.000239766,0.000239766
36,2720.82,0.49236,0.28373,0.84998,0.98707,0.9951,0.995,0.92821,0.37289,0.2177,0.79005,0.000214046,0.000214046,0.000214046
37,2786.64,0.48208,0.27516,0.84981,0.98938,0.9951,0.995,0.92516,0.39527,0.21514,0.79502,0.000189475,0.000189475,0.000189475
38,2851.79,0.47232,0.27275,0.85075,0.98787,0.9951,0.995,0.931,0.38765,0.21826,0.79103,0.000166149,0.000166149,0.000166149
39,2925.99,0.48482,0.27875,0.85391,0.9931,0.9951,0.995,0.94784,0.3601,0.2077,0.7886,0.000144161,0.000144161,0.000144161
40,2992.61,0.47655,0.26751,0.8518,0.98768,0.9951,0.99495,0.93722,0.37543,0.19981,0.79002,0.000123596,0.000123596,0.000123596
41,3102.17,0.42832,0.22448,0.81527,0.98862,0.9951,0.995,0.92958,0.3806,0.20205,0.79069,0.000104537,0.000104537,0.000104537
42,3177.7,0.43073,0.22041,0.81928,0.98953,0.9902,0.995,0.9416,0.37359,0.19978,0.79068,8.70577e-05,8.70577e-05,8.70577e-05
43,3244.12,0.42824,0.21754,0.81888,0.98932,0.9951,0.995,0.934,0.37511,0.19968,0.78968,7.12282e-05,7.12282e-05,7.12282e-05
44,3309.33,0.42415,0.21398,0.81608,0.98722,0.9951,0.995,0.93386,0.38394,0.20339,0.79079,5.71106e-05,5.71106e-05,5.71106e-05
45,3384.4,0.41982,0.21418,0.81354,0.98645,0.9951,0.995,0.93616,0.37624,0.19734,0.79066,4.47606e-05,4.47606e-05,4.47606e-05
46,3449.88,0.41251,0.20906,0.81346,0.98544,0.9951,0.995,0.93536,0.37364,0.19438,0.78981,3.4227e-05,3.4227e-05,3.4227e-05
47,3515.4,0.40855,0.20273,0.81157,0.98629,0.9902,0.995,0.93848,0.37077,0.18983,0.78932,2.55513e-05,2.55513e-05,2.55513e-05
48,3589.95,0.40952,0.20422,0.81227,0.98659,0.9902,0.995,0.93913,0.3658,0.18883,0.78834,1.87678e-05,1.87678e-05,1.87678e-05
49,3658.61,0.41284,0.20691,0.81547,0.98643,0.9902,0.995,0.93789,0.37123,0.18837,0.78956,1.39032e-05,1.39032e-05,1.39032e-05
